track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
5LLk7WNnQSH0hz1anI3avh,I'm Mr. Jody,Marvin Sease,34,0vNAAj8bQ3tbG1e2SneeGv,Candy Licker: The Sex & Soul Of Marvin Sease,1994,Southern Soul BBQ Mix,3nTS97zUqxJBQeiXNRs963,rap,southern hip hop,0.74,0.707,4,-7.972,0,0.106,0.0285,0.000123,0.0466,0.603,119.217,430107,99
0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,Taylor Swift,74,4jTYApZPMapg56gRycOn0D,Red (Big Machine Radio Release Special),2012-10-21,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147,99
4nva9EpKntUTs6CRSGBCn9,Just A Lil Bit,50 Cent,75,2pidzXTaHV4WaIJYRxKDCH,The Massacre,2005-03-03,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,rap,gangster rap,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,237707,99
5M7XyAAxB0WFLnN8zsMEn5,Don't Say You Don't (Instrumental Version),Particle House,44,4uiHT6eD05ONgFueeOQUqs,Don't Say You Don't,2019-06-07,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.819,0.46,9,-11.799,0,0.201,0.0172,0.908,0.0928,0.677,118.077,194734,99
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,77,77jAfTh3KH9K2reMOmTgOh,This Is Acting,2016-01-29,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,99
5A1w94uzc1kO1Zhe8WWxC3,Right Back,Khalid,70,6KT8x5oqZJl9CcnM66hddo,Free Spirit,2019-04-05,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin hip hop,0.789,0.427,5,-9.918,0,0.308,0.0649,3.62e-05,0.171,0.605,97.032,215227,99
4lz8RL6TkJ3XlZm0wFfjpR,Little Things - Main,India.Arie,39,5gnsCHk9Y77xaVARBD0vwf,Voyage To India - Special Edition,2002-09-24,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.789,0.513,8,-9.193,1,0.109,0.072,0.00175,0.181,0.547,92.981,209387,99
330XSiXMe9wHbE8Fy4gPth,Tequila Sunrise (featuring Barron Ricks),Cypress Hill,34,7fPmOd3F8lh22P0qEKTh8F,IV,1998-10-06,HIP-HOP: Latin Rap ['89-present],5fWgI0IJ1el5NB1sZ0Egsx,latin,latin hip hop,0.786,0.434,10,-15.184,1,0.476,0.0143,0.000988,0.657,0.531,96.868,283469,99
3fpx84UOqWm5Iy3okygo0z,Nobody Better - Blacksmith R'n'B Rub,Tina Moore,17,5dTwIU2strgU6DICrZUn87,The Legacy of Rn'B Party,2015-07-17,R&B 80's/90's/00's,2Ey63yNQeC9Yto7JwX9BGJ,r&b,new jack swing,0.82,0.638,6,-7.669,0,0.0721,0.00137,0.0022,0.0824,0.777,99.97,384227,99
4nZdakpQw9adqbdXWvx0Hi,Habri Pia,Broederliefde,57,4CCDqBhunrjThEiumcDb6D,"Habri Pia / One, Two, Three",2019-10-24,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,0.788,0.732,5,-7.194,1,0.0711,0.0511,1.76e-05,0.251,0.67,100.014,238045,99
13XHuE00ElL5thSxkaEXxK,Only God Can Judge Me,2Pac,68,4CzT5ueFBRpbILw34HQYxi,All Eyez On Me,1996-02-13,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,rap,gangster rap,0.803,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.801,90.185,296907,99
06yHcjr58IKJnfEK7ko3sD,Poison,Bell Biv DeVoe,36,3ExqNzkCrQkkknQbrJFqMd,RnB 1990's,2019-07-19,CSR 103:9 (GTA: SA),4sr2xEhXQR5VuZ0LZX8TQ8,r&b,new jack swing,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,261853,99
7ajxd0ULdHFjA2IqBlXlpc,Insane in the Brain,Cypress Hill,37,2WPS1YnbXiaX1Ekr1HNICt,The Essential Cypress Hill,2014-10-10,Mexican Gangsta Rap,28Ke4pXWqF2A5b2GfQ1pQt,rap,gangster rap,0.899,0.705,8,-7.103,0,0.234,0.0319,0.24,0.126,0.774,102.238,208507,99
7oCT27uC8YRpj73jJsggAJ,Lost,Kellylee Evans,0,6IxDqUgaORwLA8yk0r62FW,The Good Girl,2010-02-23,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.793,0.466,11,-7.691,0,0.109,0.0673,1.58e-05,0.0564,0.73,77.981,206640,99
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,96,6EobpC5SDFy5DF50dWNVGF,RITMO (Bad Boys For Life),2019-10-12,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,99
0b0zGvHMcVmMgy8ZIBVh5g,J'ai rendez vous avec mon âme (feat. Clémentine),Bart & Baker,37,4RBX3Tgn9ohBiLOpC72gme,Clémentine Sings Bart&Baker : J'ai rendez-vous avec mon âme,2017-02-24,Electro Swing,3Dr4NKbsFQ2m7tmPxGRroO,edm,electro house,0.752,0.722,0,-7.507,0,0.207,0.0263,0.00396,0.0644,0.557,119.834,230507,99
02uRToy7bttYcKCO3vIStA,Hit That Jive,Gramatik,55,4NyU7oAsBsOvTAH2vnYPem,SB2,2009-12-09,Electro Swing,3Dr4NKbsFQ2m7tmPxGRroO,edm,electro house,0.896,0.684,1,-6.099,1,0.0731,0.0461,0.051,0.164,0.686,99.995,203051,99
47dTK2wCmCOlYw2wLZDo1W,Saturday Night,The Herbaliser,16,2iITDFv9VGAjLMsIQBzGlh,Blow Your Headphones,1997-03-01,Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,r&b,hip pop,0.827,0.567,1,-10.078,1,0.203,0.0508,0.000183,0.0622,0.663,89.07,306467,99
3esyi2atuXIovqsU1H1LuZ,I'm Not Soupped,Troop,22,7JejBAyNL3oKVt1tNHLosr,Attitude,1989-10-20,"Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban",3krpccUV68nBGAQbvHEZDC,r&b,new jack swing,0.814,0.7,10,-12.335,0,0.0961,0.00135,0.0854,0.24,0.903,111.416,263173,99
4EmdSvY5pvzu9COEtPOiR0,"Why You Get Funky On Me - From ""House Party"" Soundtrack",Today,35,5bobERbX18vZzl9NNrIHUT,House Party (Original Motion Picture Soundtrack),1990-03-09,"Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban",3krpccUV68nBGAQbvHEZDC,r&b,new jack swing,0.721,0.62,0,-10.766,1,0.0662,0.042,0.00113,0.0407,0.699,109.952,224200,99
0GRHUAL2Fx9xJR4hydAKgk,Player Blacky (feat. Brown Boy),Lil Blacky,20,6q0pQLoGTc0lmIyNvA5hH6,Still Southland Ballin',2009-09-15,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,0.822,0.505,11,-7.901,0,0.255,0.00487,2.19e-05,0.128,0.836,99.989,181200,99
74SnZzNgU2GOh9Q0xIi4SS,Puercos (Pigs) - Spanish Edit,Cypress Hill,37,7u6yoSRjIBM2EI52DJLMkZ,Los Grandes Éxitos En Español,1999-10-07,HIP-HOP: Latin Rap ['89-present],5fWgI0IJ1el5NB1sZ0Egsx,latin,latin hip hop,0.761,0.624,8,-8.256,1,0.322,0.0124,1.81e-05,0.187,0.761,84.965,166773,99
5cLsk5E7Au4hkTvCQFWHMJ,Back To Life (However Do You Want Me) - Remastered,Soul II Soul,34,5EyaDapFfh5aIkgPgPWLeH,Classic Masters,2003-01-01,New Jack Swing,4nX6BscFtR1CozSCfv2cuR,r&b,new jack swing,0.813,0.569,7,-8.496,1,0.133,0.0466,0.000315,0.0388,0.636,100.974,228893,99
4qGZllhHMvoUKzYieScTvv,Different Morals - Clockwork Remix,Luca C,22,0Eupb0fpumCVEewCH9dPUM,Different Morals,2011-07-17,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.934,0.718,11,-11.878,0,0.14,0.0008,0.45,0.297,0.773,117.988,401493,99
63f9E8ZTvtcEdqZKHj5Vzv,Sway,AATA,27,0uEjveH3fRkIckHh4cdEJC,BLUE MOMENT,2019-12-11,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.792,0.673,5,-7.876,0,0.163,0.0652,8.47e-05,0.145,0.784,104.996,241164,99
72jsKj3VkYsGTIOgEUuG6Q,Right Here - Human Nature Radio Mix,SWV,17,0dFNwlJ9RmOEARHBIWVLg7,Platinum & Gold Collection,2003-06-17,Best of New Jack Swing,63Y9Sk7Twusm6ZNssHxKaa,r&b,new jack swing,0.607,0.696,9,-5.979,0,0.0745,0.0746,0.0141,0.118,0.707,94.009,224733,99
2IyFYm8UYOjXWKxNJsG1yy,Latin Lingo,Cypress Hill,35,4tQSV1ZGpwlo3dBiTRuKvM,Cypress Hill,1991-08-13,HIP-HOP: Latin Rap ['89-present],5fWgI0IJ1el5NB1sZ0Egsx,latin,latin hip hop,0.853,0.602,6,-14.649,1,0.265,0.0206,0.0058,0.102,0.592,91.324,238933,99
6BxiFSFVzviEqe2eIaruLV,Top of the World (feat. Mase),Brandy,50,1Co6e9ag1gRKcWdG7xKcCi,Never Say Never,1998-05-29,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.839,0.621,1,-5.739,1,0.132,0.00301,0.0314,0.105,0.855,98.015,281507,99
3lGBvPUgO7MJltUnBlOpe9,Mass Appeal,Gang Starr,61,67kl5m0df6Bn0aSe3g5Ea7,Hard To Earn,1994-03-08,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.808,0.726,10,-8.435,0,0.252,0.0208,0.276,0.129,0.616,96.12,221027,99
0AN7buveJEF1x9YwnAbumB,Things That You Do,LemKuuja,0,461xM64rUjJEFBzZb881ex,CHEESECAKE+,2018-06-30,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.679,0.725,1,-10.4,1,0.38,0.0343,0.00339,0.583,0.732,120.011,259495,99
76mjPF4HMKDI0sfCOCQEFO,Pa'que La Pases Bien,Arcangel,1,6X1AJdooiLu3fuFMwnV6yN,"Luny Tunes Presents, Calle 434",2009-03-12,REGGAETON VIEJO,31hG19URdBvLEpQWKFYfdD,latin,reggaeton,0.862,0.762,4,-5.715,1,0.196,0.0071,0.000587,0.307,0.528,110.0,210640,99
1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,Cypress Hill,70,02lktkm4J7K7N8T63Gm7KX,Black Sunday,1993-07-20,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,rap,gangster rap,0.897,0.612,11,-10.489,1,0.211,0.0297,0.186,0.0894,0.767,102.305,208267,99
2RjQ82MtgcR8sgOL2RJQAs,Hey Mr. D.J. - Original Mix - Edit,Zhané,27,4aABVRHUahNfxQOvs4vZwB,Pure... 90s R&B,2014-03-21,R&B 80's/90's/00's,2Ey63yNQeC9Yto7JwX9BGJ,r&b,new jack swing,0.861,0.652,2,-6.31,1,0.0636,0.0461,0.00459,0.0998,0.885,101.307,256013,99
3BYY2756aaf3cCfrqaVRAt,Ghost Rider,Taz,45,7ozp0bV8riTSNC5urdSCef,Ghost Rider,2018-09-03,Gangsta Rap 💎 Rap Party,0BwUQpqHSlC2YfKwOp2dQV,rap,gangster rap,0.793,0.615,11,-11.613,1,0.119,0.00774,0.000103,0.0575,0.686,79.958,160297,99
7AicmKMwI3TfSaYFhzYFXl,Mi Fanatica - Remix,Arcangel,0,4Ryvj739gs3zPL5ThP2XEV,Mas Flow - Los Benjamins,2006-01-01,Reggaeton viejito🔥,0si5tw70PIgPkY1Eva6V8f,latin,reggaeton,0.877,0.7,4,-7.753,1,0.108,0.0552,0.00215,0.261,0.623,92.999,228573,99
